GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sistema-notas,petcc.course.spring.sistemanotas.model,Aluno.AlunoBuilder,12,42,0,0,0,1,1,7,1,7
sistema-notas,petcc.course.spring.sistemanotas.model,Disciplina,143,28,30,0,1,6,22,6,7,6
sistema-notas,petcc.course.spring.sistemanotas.model,Notas.NotasBuilder,54,0,0,0,1,0,8,0,8,0
sistema-notas,petcc.course.spring.sistemanotas.model,Notas,254,3,46,0,8,1,39,1,16,1
sistema-notas,petcc.course.spring.sistemanotas.model,Professor,189,25,38,0,4,4,30,4,11,4
sistema-notas,petcc.course.spring.sistemanotas.model,Aluno,139,118,33,13,0,9,30,10,7,10
sistema-notas,petcc.course.spring.sistemanotas.model,Professor.ProfessorBuilder,10,35,0,0,0,1,1,6,1,6
sistema-notas,petcc.course.spring.sistemanotas.model,Disciplina.DisciplinaBuilder,8,28,0,0,0,1,1,5,1,5
sistema-notas,petcc.course.spring.sistemanotas,SistemaNotasApplication,5,3,0,0,2,1,1,1,1,1
sistema-notas,petcc.course.spring.sistemanotas.handler,RestExceptionHandler,76,3,0,0,19,1,2,1,2,1
sistema-notas,petcc.course.spring.sistemanotas.service,ProfessorService,38,6,0,0,8,1,7,1,7,1
sistema-notas,petcc.course.spring.sistemanotas.service,DisciplinaService,62,9,0,0,12,1,10,1,10,1
sistema-notas,petcc.course.spring.sistemanotas.service,AlunoService,11,40,0,0,2,9,2,7,2,7
sistema-notas,petcc.course.spring.sistemanotas.config,SwaggerConfig,0,32,0,0,0,13,0,3,0,3
sistema-notas,petcc.course.spring.sistemanotas.exception,ResourceNotFoundDetails.ResourceNotFoundDetailsBuilderImpl,7,0,0,0,1,0,2,0,2,0
sistema-notas,petcc.course.spring.sistemanotas.exception,ResourceNotFoundDetails.ResourceNotFoundDetailsBuilder,7,0,0,0,1,0,2,0,2,0
sistema-notas,petcc.course.spring.sistemanotas.exception,ExceptionDetails.ExceptionDetailsBuilderImpl,7,0,0,0,1,0,2,0,2,0
sistema-notas,petcc.course.spring.sistemanotas.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
sistema-notas,petcc.course.spring.sistemanotas.exception,ExceptionDetails,259,0,46,0,7,0,39,0,16,0
sistema-notas,petcc.course.spring.sistemanotas.exception,ExceptionDetails.ExceptionDetailsBuilder,45,0,0,0,1,0,7,0,7,0
sistema-notas,petcc.course.spring.sistemanotas.exception,ValidationExceptionDetails,22,0,0,0,3,0,4,0,4,0
sistema-notas,petcc.course.spring.sistemanotas.exception,ResourceNotFoundDetails,8,0,0,0,1,0,2,0,2,0
sistema-notas,petcc.course.spring.sistemanotas.exception,ValidationExceptionDetails.ValidationExceptionDetailsBuilderImpl,7,0,0,0,1,0,2,0,2,0
sistema-notas,petcc.course.spring.sistemanotas.exception,ValidationExceptionDetails.ValidationExceptionDetailsBuilder,23,0,0,0,1,0,4,0,4,0
sistema-notas,petcc.course.spring.sistemanotas.controller,DisciplinaController,41,6,0,0,8,1,6,1,6,1
sistema-notas,petcc.course.spring.sistemanotas.controller,ProfessorController,35,6,0,0,7,1,5,1,5,1
sistema-notas,petcc.course.spring.sistemanotas.controller,AlunoController,0,47,0,0,0,9,0,7,0,7
